id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y,
1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,"[[1.0606627138451856, 0.3439667138673875, -497.8978610611467], [0.011919581725440269, 4.586662980083068, -1176.8442597836183], [4.8478780487874024e-06, 0.002012572611469505, 1.0]]",407.6,867,307.2,973,308.6,307.4,671.2,669.4,
2,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,"[[3.2257625231927, 1.8272734973122737, -1875.3467940960556], [0.015628122818271688, 18.41136641581973, -5886.457632662832], [0.00010418749255237047, 0.010394454526229408, 1.0]]",415.4,863.4,262.8,1018.4,358.2,358.2,672,677.2,
3,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,"[[1.4590990108235753, 0.7034097098060653, -761.6703438283957], [-0.012944124346272975, 6.991588273680825, -1675.492902760459], [-8.455318067044705e-06, 0.003973652311934138, 1.0]]",420.6,858.8,266.2,1009,286.2,287,659.2,660.4,
4,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,"[[1.9523045866733588, 0.9801671951476165, -1065.7854887959163], [0.006811070912976109, 8.546177245698969, -1833.8532474305387], [-1.0178084275277081e-05, 0.005529519693682916, 1.0]]",448,818.2,278.8,981.2,256.6,256.2,649,646.4,
5,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,"[[0.9899690562274399, 0.33017797556835216, -461.21712141353044], [0.015888258759421018, 4.1411882843191865, -982.9223813694236], [5.846625858012096e-06, 0.001811064258044162, 1.0]]",407.4,871.4,298.6,970,291.2,289.4,669.2,666.4,
6,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,"[[1.854722576692273, 0.9086182070270271, -1044.096185325319], [-0.019603678094895813, 8.077877270100064, -1878.798210444892], [-0.00010525837558306067, 0.005228250075690907, 1.0]]",459,841.4,284.6,1010.4,278.4,278.6,694.8,682.4,
7,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,"[[1.7642701851492364, 1.0455606745989166, -963.216543027561], [-0.05505351441862821, 10.125022286691303, -2815.2917916695087], [-3.777998080515185e-05, 0.005855800294804382, 1.0]]",395.4,882.2,216.2,1052.6,322.8,325.4,674.6,678.4,
8,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,"[[1.2040328339272803, 0.38913842098046203, -591.9740173762436], [0.011345241565236579, 5.204825094114392, -1424.930957789887], [8.58074420060726e-07, 0.002290539246896153, 1.0]]",423.4,856.8,328.8,957.8,323,322,666.2,664.2,
9,CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,"[[1.5658558271855607, 1.0324645253684355, -841.5885175459309], [-0.020336076693883594, 10.4852732598627, -3050.864479746993], [-2.0438725310065724e-05, 0.005771560273500008, 1.0]]",364.2,921.2,176.4,1098.6,333.4,334.4,664.6,665.2,
10,CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,"[[1.4379354545841778, 0.9495879098465839, -758.5212794200803], [-0.018672080402059525, 9.61982892737162, -2776.0388805518432], [-2.1665779002136506e-05, 0.005301587367572587, 1.0]]",356,928.2,162.2,1110.4,332.2,333.2,673.4,673.6,
