rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,type,aroundhead,backhand,hit_area,landing_height,landing_area,landing_x,landing_y,lose_reason,getpoint_player,player_location_area,player_location_x,player_location_y,opponent_location_area,is_target_win,set,match_id,winner,loser,rally_id,match_sets_id,rally_length
2,1.0,0:07:55,11881.0,2,0,1,short service,0.0,1,7,2.0,8,0.6243902439024389,-0.5574479166666665,,,8,165.3,627.18,8,1,1,1,1,2,1,1_1,6
2,2.0,0:07:56,11900.0,2,0,2,push/rush,0.0,1,8,2.0,8,-0.6439024390243903,1.489947916666667,,,8,197.5,353.23,8,1,1,1,1,2,1,1_1,6
2,3.0,0:07:56,11921.0,2,0,1,smash,0.0,0,8,1.0,8,-0.2536585365853659,-1.0660416666666668,,,8,136.3,733.96,8,1,1,1,1,2,1,1_1,6
2,4.0,0:07:57,11934.0,2,0,2,defensive shot,0.0,1,8,2.0,7,-0.6670731707317074,0.3051041666666669,,,8,150.9,247.97,8,1,1,1,1,2,1,1_1,6
2,5.0,0:07:58,11952.0,2,0,1,push/rush,0.0,0,7,1.0,8,0.076829268292683,-1.0155208333333334,,,8,136.4,626.93,8,1,1,1,1,2,1,1_1,6
2,6.0,0:07:58,11965.0,2,0,2,drive,0.0,0,8,1.0,10,2.026829268292683,1.8494791666666668,not pass over the net,1.0,8,178.2,292.89,8,1,1,1,1,2,1,1_1,6
3,1.0,0:08:11,12298.0,2,1,1,short service,0.0,1,7,1.0,8,-0.2268292682926828,-0.8366666666666666,,,8,180.5,636.78,8,0,1,1,1,2,2,1_1,27
3,2.0,0:08:12,12313.0,2,1,2,net shot,0.0,1,8,2.0,7,-0.6780487804878048,0.6114583333333332,,,8,135.4,352.63,8,0,1,1,1,2,2,1_1,27
3,3.0,0:08:13,12331.0,2,1,1,lob,0.0,0,7,1.0,3,-0.9121951219512194,-1.4791666666666667,,,7,111.4,577.62,8,0,1,1,1,2,2,1_1,27
3,4.0,0:08:14,12362.0,2,1,2,smash,0.0,0,3,2.0,8,0.4560975609756098,1.038333333333333,,,9,124.9,198.49,8,0,1,1,1,2,2,1_1,27
3,5.0,0:08:14,12372.0,2,1,1,defensive shot,0.0,1,8,2.0,7,0.8817073170731708,-0.4678124999999999,,,8,167.0,691.34,9,0,1,1,1,2,2,1_1,27
3,6.0,0:08:16,12400.0,2,1,2,lob,0.0,1,7,1.0,8,-0.7170731707317073,1.4967708333333334,,,8,225.1,338.26,8,0,1,1,1,2,2,1_1,27
3,7.0,0:08:17,12429.0,2,1,1,smash,0.0,0,8,2.0,8,-0.8365853658536585,-0.9950520833333334,,,9,150.1,774.67,8,0,1,1,1,2,2,1_1,27
