rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db,match_id,set_id,rally_id,roundscore_diff,continuous_score,is_target_win,is_target_turn,player_id,time_proportion
2,1.0,370,11129.0,1,1,A,1,9,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,1_1_2,0,0,1.0,0.0,0,0.0
2,2.0,371,11152.0,1,1,B,2,4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,848.0,611.0,0,0,0,0.0,8.0,727.0,349.0,8.0,725.0,559.0,0,1,1,1_1_2,0,0,1.0,1.0,1,0.3333333333333333
2,3.0,372,11181.0,1,1,A,2,4,0.0,0.0,1.0,5.0,848.0,611.0,1.0,13.0,781.0,300.0,0,0,0,0.0,5.0,806.0,593.0,8.0,672.0,351.0,0,1,1,1_1_2,0,0,1.0,0.0,0,0.6666666666666666
2,4.0,373,11219.0,1,1,B,3,10,1.0,0.0,1.0,13.0,781.0,300.0,2.0,15.0,902.0,540.0,對手落地致勝,落地致勝,B,0.0,9.0,746.0,309.0,8.0,705.0,551.0,0,1,1,1_1_2,0,1,1.0,1.0,1,1.0
3,1.0,388,11662.0,2,1,B,1,1,0.0,0.0,2.0,0.0,0.0,0.0,1.0,9.0,589.0,643.0,0,0,0,0.0,8.0,647.0,348.0,8.0,523.0,571.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.0
3,2.0,390,11718.0,2,1,A,2,4,0.0,0.0,1.0,9.0,589.0,643.0,1.0,5.0,513.0,330.0,0,0,0,0.0,9.0,559.0,636.0,8.0,626.0,340.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.1111111111111111
3,3.0,391,11757.0,2,1,B,2,5,0.0,0.0,1.0,5.0,513.0,330.0,2.0,6.0,458.0,553.0,0,0,0,0.0,3.0,527.0,319.0,8.0,624.0,552.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.1666666666666666
3,4.0,392,11770.0,2,1,A,2,6,0.0,1.0,2.0,6.0,458.0,553.0,2.0,1.0,512.0,391.0,0,0,0,0.0,8.0,645.0,557.0,3.0,508.0,322.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.2222222222222222
3,5.0,393,11797.0,2,1,B,2,8,0.0,0.0,2.0,1.0,512.0,391.0,1.0,8.0,724.0,609.0,0,0,0,0.0,8.0,558.0,386.0,8.0,614.0,556.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.2777777777777778
3,6.0,394,11831.0,2,1,A,2,5,0.0,0.0,1.0,8.0,724.0,609.0,2.0,6.0,813.0,352.0,0,0,0,0.0,8.0,669.0,612.0,8.0,605.0,353.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.3333333333333333
3,7.0,394,11848.0,2,1,B,2,6,0.0,1.0,2.0,6.0,813.0,352.0,2.0,1.0,787.0,468.0,0,0,0,0.0,8.0,631.0,351.0,8.0,688.0,613.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.3333333333333333
3,8.0,395,11875.0,2,1,A,2,8,0.0,0.0,2.0,1.0,787.0,468.0,1.0,9.0,587.0,305.0,0,0,0,0.0,7.0,746.0,503.0,8.0,668.0,347.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.3888888888888889
3,9.0,396,11904.0,2,1,B,2,4,0.0,0.0,1.0,9.0,587.0,305.0,1.0,8.0,581.0,605.0,0,0,0,0.0,9.0,602.0,324.0,8.0,682.0,512.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.4444444444444444
3,10.0,397,11927.0,2,1,A,2,5,0.0,0.0,1.0,8.0,581.0,605.0,2.0,6.0,772.0,363.0,0,0,0,0.0,8.0,608.0,573.0,8.0,586.0,338.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.5
3,11.0,398,11945.0,2,1,B,2,7,0.0,1.0,2.0,6.0,772.0,363.0,2.0,7.0,554.0,481.0,0,0,0,0.0,8.0,635.0,342.0,8.0,619.0,595.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.5555555555555556
3,12.0,399,11974.0,2,1,A,2,3,0.0,1.0,2.0,7.0,554.0,481.0,1.0,3.0,486.0,312.0,0,0,0,0.0,8.0,622.0,514.0,8.0,628.0,352.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.6111111111111112
3,13.0,400,12023.0,2,1,B,2,4,0.0,0.0,1.0,3.0,486.0,312.0,1.0,6.0,407.0,604.0,0,0,0,0.0,9.0,533.0,315.0,8.0,620.0,540.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.6666666666666666
3,14.0,401,12050.0,2,1,A,2,2,1.0,0.0,1.0,6.0,407.0,604.0,2.0,1.0,505.0,406.0,0,0,0,0.0,8.0,519.0,600.0,8.0,589.0,334.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.7222222222222222
3,15.0,402,12089.0,2,1,B,2,11,0.0,0.0,2.0,1.0,505.0,406.0,2.0,2.0,494.0,482.0,0,0,0,0.0,7.0,521.0,407.0,8.0,583.0,550.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.7777777777777778
3,16.0,403,12113.0,2,1,A,2,3,0.0,1.0,2.0,2.0,494.0,482.0,1.0,13.0,495.0,301.0,0,0,0,0.0,7.0,515.0,480.0,8.0,576.0,388.0,0,1,1,1_1_3,-1,1,0.0,0.0,0,0.8333333333333334
3,17.0,405,12169.0,2,1,B,2,12,0.0,0.0,1.0,13.0,495.0,301.0,1.0,6.0,427.0,540.0,0,0,0,0.0,9.0,570.0,315.0,8.0,601.0,527.0,0,1,1,1_1_3,-1,1,0.0,1.0,1,0.9444444444444444
3,18.0,406,12191.0,2,1,A,3,2,0.0,1.0,1.0,6.0,427.0,540.0,2.0,1.0,456.0,406.0,對手落地致勝,落地致勝,A,0.0,8.0,503.0,531.0,8.0,594.0,342.0,0,1,1,1_1_3,-1,0,0.0,0.0,0,1.0
4,1.0,424,12727.0,3,1,A,1,13,0.0,1.0,2.0,0.0,0.0,0.0,2.0,7.0,553.0,406.0,0,0,0,0.0,8.0,647.0,531.0,8.0,563.0,353.0,0,1,1,1_1_4,-2,0,0.0,0.0,0,0.0
4,2.0,425,12755.0,3,1,B,2,8,0.0,0.0,2.0,7.0,553.0,406.0,1.0,6.0,463.0,605.0,0,0,0,0.0,8.0,553.0,386.0,8.0,644.0,529.0,0,1,1,1_1_4,-2,0,0.0,1.0,1,0.3333333333333333
4,3.0,426,12783.0,3,1,A,2,4,1.0,0.0,1.0,6.0,463.0,605.0,1.0,3.0,487.0,313.0,0,0,0,0.0,8.0,614.0,577.0,8.0,566.0,359.0,0,1,1,1_1_4,-2,0,0.0,0.0,0,0.6666666666666666
